Date;Household_ID;Household_Size; Income (£) ;Region;Urban_Rural;Education_Level;Marital_Status;Children;Age_Group;Occupation;Weekly_Grocery_Expenditure;Fridge_Size;Freezer_Size;Food_Preferences;Cooking_Frequency;Leftover_Frequency;Grocery_Shopping_Frequency;Grocery_Store_Type;Organic_Food_Preference;Food_Waste_Perception;Awareness_Programs;Composting_Facility;Food_Waste_Reasons;Food_Preservation_Methods;Food_Waste_Education;Cooking_Skills;Meal_Planning_Frequency;Food_Waste_Quantification;Perishable_Food_Management;Food_Donation_Frequency;Food_Waste_Reduction_Strategies;Technology_Use;Food_Waste_Reduction_Success;Food_Type;Purchase_Quantity;Waste_Quantity
11/01/2023;11;1;37,978.00;West;Urban;High School;Divorced;0;61;Unemployed;61;Medium;Small;Non-Vegetarian;Weekly;Weekly;Monthly;Local;Yes;Moderate;No;Yes;Spoilage;Refrigeration;No;High;Weekly;Sometimes;Preservation;Occasionally;Smart Shopping;High;Partial;Meat;16;0
12/01/2023;12;4;65,320.00;South;Rural;Master;Married;2;46-60;Student;96;Medium;Small;Vegetarian;Rarely;Daily;Daily;Local;No;Low;No;Yes;Spoilage;Refrigeration;No;Low;Daily;Sometimes;Storage;Rarely;Meal Planning;Low;Not Successful;Fruits;16;2
13/01/2023;13;1;48,965.00;North;Rural;Bachelor;Single;0;31-45;Employed;180;Small;Small;Vegetarian;Rarely;Weekly;Monthly;Supermarket;Yes;Moderate;Yes;No;Excess Purchases;Freezing;No;Moderate;Rarely;Rarely;Storage;Occasionally;Meal Planning;High;Partial;Vegetables;16;2
14/01/2023;14;4;59,771.00;South;Rural;PhD;Divorced;3;61;Unemployed;164;Large;Small;Non-Vegetarian;Daily;Weekly;Weekly;Local;No;High;Yes;Yes;Portion Control;Canning;No;High;Rarely;Sometimes;Storage;Rarely;Reduced Portions;High;Partial;Fruits;16;0
15/01/2023;15;5;34,033.00;West;Urban;High School;Married;3;31-45;Student;82;Small;Large;Vegetarian;Rarely;Weekly;Daily;Local;Yes;High;Yes;No;Portion Control;Refrigeration;Yes;Low;Daily;Regularly;Prompt Consumption;Occasionally;Smart Shopping;High;Partial;Seafood;16;6
16/01/2023;16;3;55,838.00;East;Rural;PhD;Single;2;18-30;Employed;143;Small;Large;Vegetarian;Weekly;Weekly;Weekly;Online;Yes;Moderate;Yes;Yes;Spoilage;Refrigeration;Yes;Moderate;Weekly;Rarely;Storage;Occasionally;Meal Planning;High;Successful;Meat;16;4
17/01/2023;17;2;44,866.00;North;Rural;Master;Divorced;1;46-60;Employed;198;Small;Medium;Non-Vegetarian;Daily;Daily;Weekly;Local;No;High;No;Yes;Portion Control;Refrigeration;No;Low;Daily;Regularly;Storage;Rarely;Reduced Portions;Low;Not Successful;Vegetables;16;6
18/01/2023;18;3;46,955.00;South;Urban;Bachelor;Divorced;2;46-60;Employed;163;Medium;Small;Vegetarian;Rarely;Weekly;Weekly;Supermarket;No;High;Yes;Yes;Spoilage;Freezing;No;Moderate;Daily;Sometimes;Prompt Consumption;Regularly;Reduced Portions;High;Partial;Vegetables;16;6
19/01/2023;19;2;50,309.00;East;Urban;Bachelor;Married;0;61;Employed;25;Small;Medium;Non-Vegetarian;Daily;Weekly;Monthly;Local;Yes;High;Yes;No;Spoilage;Refrigeration;No;High;Weekly;Rarely;Storage;Regularly;Reduced Portions;Low;Partial;Seafood;16;4
20/01/2023;20;3;65,568.00;North;Urban;Master;Divorced;2;46-60;Student;62;Medium;Small;Vegetarian;Rarely;Rarely;Weekly;Supermarket;No;Low;Yes;Yes;Excess Purchases;Freezing;Yes;Low;Rarely;Rarely;Preservation;Occasionally;Reduced Portions;High;Partial;Meat;16;6
21/01/2023;21;2;31,578.00;South;Urban;PhD;Married;0;18-30;Unemployed;222;Small;Medium;Vegetarian;Daily;Rarely;Weekly;Supermarket;No;High;No;Yes;Excess Purchases;Canning;No;Moderate;Rarely;Regularly;Preservation;Rarely;Reduced Portions;High;Partial;Vegetables;16;0
22/01/2023;22;4;50,459.00;East;Rural;Master;Divorced;3;31-45;Unemployed;35;Large;Small;Vegetarian;Rarely;Weekly;Daily;Local;Yes;Low;Yes;Yes;Spoilage;Freezing;No;High;Weekly;Regularly;Prompt Consumption;Rarely;Smart Shopping;Low;Partial;Seafood;16;6
23/01/2023;23;2;62,025.00;South;Rural;Bachelor;Single;1;46-60;Employed;72;Medium;Large;Vegetarian;Weekly;Daily;Weekly;Supermarket;Yes;High;Yes;No;Spoilage;Freezing;Yes;Low;Daily;Sometimes;Storage;Regularly;Meal Planning;High;Partial;Fruits;16;1
24/01/2023;24;4;57,855.00;South;Urban;High School;Divorced;3;31-45;Student;274;Small;Medium;Non-Vegetarian;Daily;Daily;Daily;Online;No;Low;No;Yes;Portion Control;Refrigeration;No;Low;Daily;Rarely;Storage;Occasionally;Smart Shopping;Low;Not Successful;Fruits;16;6
25/01/2023;25;1;63,570.00;West;Rural;Master;Single;0;31-45;Employed;169;Large;Small;Vegetarian;Weekly;Rarely;Monthly;Supermarket;No;Low;No;Yes;Spoilage;Freezing;No;High;Daily;Rarely;Prompt Consumption;Occasionally;Smart Shopping;Moderate;Not Successful;Vegetables;16;6
26/01/2023;26;2;29,241.00;West;Urban;High School;Divorced;1;46-60;Unemployed;124;Large;Large;Non-Vegetarian;Daily;Weekly;Daily;Supermarket;No;Low;No;Yes;Portion Control;Freezing;No;Moderate;Weekly;Rarely;Storage;Regularly;Smart Shopping;High;Not Successful;Vegetables;16;4
27/01/2023;27;1;45,258.00;West;Rural;Bachelor;Divorced;0;46-60;Student;277;Large;Small;Vegetarian;Weekly;Weekly;Daily;Supermarket;No;Moderate;No;Yes;Portion Control;Refrigeration;No;Low;Weekly;Rarely;Prompt Consumption;Regularly;Reduced Portions;High;Partial;Seafood;16;2
28/01/2023;28;2;31,354.00;West;Urban;High School;Divorced;1;18-30;Employed;126;Large;Large;Non-Vegetarian;Daily;Rarely;Daily;Online;No;High;Yes;Yes;Excess Purchases;Canning;No;Low;Daily;Regularly;Preservation;Rarely;Reduced Portions;High;Partial;Seafood;16;0
29/01/2023;29;4;36,240.00;West;Urban;Bachelor;Single;3;61;Employed;188;Small;Small;Vegetarian;Weekly;Weekly;Daily;Supermarket;Yes;Moderate;No;No;Excess Purchases;Refrigeration;No;Moderate;Rarely;Rarely;Preservation;Occasionally;Meal Planning;High;Partial;Vegetables;16;2
30/01/2023;30;4;30,185.00;North;Rural;PhD;Married;2;46-60;Employed;124;Medium;Small;Vegetarian;Rarely;Weekly;Weekly;Supermarket;Yes;High;Yes;Yes;Excess Purchases;Refrigeration;No;Moderate;Weekly;Rarely;Prompt Consumption;Regularly;Smart Shopping;High;Not Successful;Fruits;16;1
31/01/2023;31;5;51,040.00;East;Rural;PhD;Married;3;18-30;Employed;288;Medium;Large;Vegetarian;Rarely;Rarely;Weekly;Online;Yes;Moderate;No;No;Excess Purchases;Refrigeration;No;Moderate;Daily;Rarely;Preservation;Regularly;Reduced Portions;Moderate;Not Successful;Seafood;16;0
01/02/2023;32;5;29,616.00;East;Urban;Bachelor;Married;3;46-60;Student;24;Small;Small;Vegetarian;Rarely;Rarely;Daily;Supermarket;Yes;Low;No;Yes;Spoilage;Canning;No;Moderate;Daily;Sometimes;Preservation;Regularly;Smart Shopping;Moderate;Successful;Seafood;16;5
02/02/2023;33;1;48,494.00;East;Urban;Bachelor;Divorced;0;61;Unemployed;75;Small;Small;Vegetarian;Rarely;Rarely;Monthly;Supermarket;Yes;High;Yes;No;Portion Control;Refrigeration;Yes;Low;Rarely;Sometimes;Prompt Consumption;Rarely;Smart Shopping;High;Partial;Meat;16;2
03/02/2023;34;4;59,492.00;East;Rural;High School;Married;2;61;Employed;247;Small;Small;Non-Vegetarian;Daily;Rarely;Daily;Local;No;High;No;Yes;Spoilage;Canning;No;Moderate;Rarely;Sometimes;Storage;Rarely;Reduced Portions;Moderate;Not Successful;Meat;16;2
04/02/2023;35;2;36,607.00;West;Rural;Bachelor;Divorced;1;46-60;Student;113;Small;Large;Vegetarian;Weekly;Rarely;Daily;Local;Yes;Moderate;Yes;Yes;Portion Control;Refrigeration;Yes;Low;Rarely;Sometimes;Preservation;Occasionally;Smart Shopping;Low;Partial;Seafood;16;5
05/02/2023;36;1;50,882.00;North;Urban;Bachelor;Divorced;0;31-45;Unemployed;128;Medium;Small;Vegetarian;Rarely;Weekly;Daily;Online;No;Low;Yes;Yes;Excess Purchases;Freezing;No;Low;Daily;Sometimes;Storage;Regularly;Meal Planning;High;Partial;Vegetables;16;4
06/02/2023;37;5;37,060.00;East;Rural;High School;Married;3;18-30;Unemployed;188;Small;Small;Vegetarian;Rarely;Weekly;Daily;Online;Yes;Low;No;No;Spoilage;Canning;No;High;Daily;Regularly;Prompt Consumption;Occasionally;Reduced Portions;High;Partial;Vegetables;16;5
07/02/2023;38;1;49,496.00;East;Urban;PhD;Divorced;0;31-45;Employed;193;Small;Medium;Vegetarian;Rarely;Rarely;Daily;Online;Yes;Low;No;Yes;Spoilage;Refrigeration;No;Moderate;Rarely;Rarely;Storage;Occasionally;Meal Planning;Moderate;Not Successful;Vegetables;16;6
08/02/2023;39;3;49,272.00;South;Urban;PhD;Married;1;61;Student;186;Medium;Small;Vegetarian;Rarely;Daily;Weekly;Local;No;Moderate;No;No;Excess Purchases;Canning;No;Moderate;Daily;Regularly;Prompt Consumption;Rarely;Meal Planning;Low;Not Successful;Fruits;16;3
09/02/2023;40;5;52,429.00;North;Urban;Master;Married;3;46-60;Employed;274;Large;Medium;Vegetarian;Rarely;Daily;Daily;Supermarket;No;Low;Yes;Yes;Portion Control;Refrigeration;No;Moderate;Weekly;Sometimes;Prompt Consumption;Rarely;Reduced Portions;High;Not Successful;Vegetables;16;2
10/02/2023;41;1;70,588.00;North;Rural;High School;Divorced;0;31-45;Employed;291;Small;Large;Vegetarian;Rarely;Weekly;Weekly;Online;Yes;Low;No;Yes;Excess Purchases;Refrigeration;No;Moderate;Daily;Sometimes;Prompt Consumption;Occasionally;Reduced Portions;High;Partial;Fruits;16;5
11/02/2023;42;4;54,665.00;South;Urban;High School;Married;2;46-60;Student;216;Large;Small;Vegetarian;Rarely;Weekly;Daily;Supermarket;Yes;Moderate;Yes;No;Excess Purchases;Freezing;Yes;Moderate;Weekly;Sometimes;Prompt Consumption;Regularly;Smart Shopping;High;Successful;Vegetables;16;3
12/02/2023;43;4;30,821.00;East;Rural;High School;Married;2;46-60;Unemployed;168;Small;Small;Non-Vegetarian;Daily;Daily;Daily;Local;Yes;Low;Yes;No;Spoilage;Freezing;No;Low;Weekly;Sometimes;Preservation;Rarely;Reduced Portions;Low;Partial;Seafood;16;0
13/02/2023;44;4;68,487.00;South;Urban;PhD;Divorced;3;31-45;Unemployed;118;Large;Small;Vegetarian;Rarely;Weekly;Daily;Local;No;Moderate;Yes;Yes;Spoilage;Freezing;No;Low;Weekly;Sometimes;Prompt Consumption;Occasionally;Reduced Portions;High;Partial;Vegetables;16;6
14/02/2023;45;3;42,425.00;South;Urban;High School;Single;2;46-60;Employed;195;Large;Small;Vegetarian;Weekly;Rarely;Daily;Supermarket;No;Moderate;No;No;Spoilage;Refrigeration;No;Moderate;Daily;Rarely;Prompt Consumption;Rarely;Smart Shopping;High;Not Successful;Vegetables;16;2
15/02/2023;46;2;51,520.00;South;Rural;PhD;Divorced;1;46-60;Unemployed;252;Large;Large;Vegetarian;Weekly;Weekly;Daily;Supermarket;No;High;Yes;No;Spoilage;Canning;Yes;Moderate;Weekly;Sometimes;Preservation;Regularly;Meal Planning;Moderate;Partial;Meat;16;3
16/02/2023;47;4;42,615.00;West;Urban;High School;Single;3;31-45;Employed;127;Large;Small;Non-Vegetarian;Daily;Weekly;Daily;Local;Yes;High;No;Yes;Portion Control;Canning;No;High;Daily;Regularly;Prompt Consumption;Occasionally;Meal Planning;High;Partial;Fruits;16;6
17/02/2023;48;2;48,939.00;East;Rural;High School;Married;0;18-30;Employed;156;Medium;Medium;Non-Vegetarian;Daily;Daily;Daily;Supermarket;Yes;High;Yes;Yes;Excess Purchases;Refrigeration;No;Moderate;Weekly;Rarely;Preservation;Regularly;Meal Planning;Low;Partial;Vegetables;16;1
18/02/2023;49;1;57,441.00;South;Urban;PhD;Single;0;31-45;Employed;124;Medium;Medium;Vegetarian;Rarely;Weekly;Monthly;Online;Yes;Low;No;Yes;Portion Control;Refrigeration;No;High;Weekly;Regularly;Preservation;Regularly;Reduced Portions;Moderate;Not Successful;Fruits;16;6
19/02/2023;50;3;39,454.00;West;Rural;Master;Single;2;18-30;Unemployed;41;Large;Medium;Vegetarian;Rarely;Weekly;Weekly;Supermarket;Yes;Moderate;Yes;No;Spoilage;Canning;No;Moderate;Daily;Sometimes;Storage;Occasionally;Smart Shopping;Moderate;Not Successful;Meat;16;6
20/02/2023;51;2;71,953.00;East;Rural;Master;Married;0;46-60;Student;189;Small;Small;Non-Vegetarian;Daily;Rarely;Daily;Supermarket;Yes;Moderate;Yes;No;Portion Control;Freezing;Yes;Moderate;Rarely;Rarely;Storage;Rarely;Reduced Portions;Moderate;Successful;Vegetables;16;5
21/02/2023;52;4;61,054.00;North;Rural;High School;Divorced;3;46-60;Student;279;Medium;Large;Non-Vegetarian;Daily;Rarely;Daily;Supermarket;Yes;High;Yes;No;Portion Control;Freezing;Yes;Low;Daily;Rarely;Prompt Consumption;Regularly;Smart Shopping;High;Successful;Seafood;16;6
22/02/2023;53;3;49,442.00;West;Urban;Bachelor;Single;2;46-60;Student;64;Small;Medium;Non-Vegetarian;Daily;Daily;Daily;Supermarket;Yes;Moderate;No;No;Spoilage;Freezing;No;Moderate;Weekly;Regularly;Prompt Consumption;Rarely;Meal Planning;Low;Not Successful;Vegetables;16;5
23/02/2023;54;4;67,429.00;West;Urban;High School;Divorced;3;18-30;Unemployed;26;Large;Small;Vegetarian;Rarely;Weekly;Daily;Supermarket;Yes;Moderate;Yes;Yes;Portion Control;Canning;No;High;Daily;Regularly;Storage;Regularly;Reduced Portions;High;Not Successful;Vegetables;16;0
24/02/2023;55;4;34,754.00;East;Urban;High School;Divorced;3;18-30;Employed;88;Small;Large;Vegetarian;Daily;Weekly;Daily;Online;Yes;High;Yes;Yes;Excess Purchases;Canning;Yes;Low;Daily;Regularly;Prompt Consumption;Occasionally;Meal Planning;High;Successful;Vegetables;16;1
25/02/2023;56;5;39,352.00;West;Rural;Master;Married;3;18-30;Student;267;Large;Medium;Vegetarian;Weekly;Rarely;Daily;Online;Yes;High;Yes;Yes;Spoilage;Canning;Yes;Moderate;Rarely;Sometimes;Storage;Rarely;Reduced Portions;Low;Successful;Vegetables;16;1
26/02/2023;57;4;43,375.00;East;Urban;Master;Single;3;31-45;Student;242;Large;Large;Vegetarian;Daily;Rarely;Daily;Local;Yes;Moderate;Yes;No;Spoilage;Freezing;Yes;Moderate;Weekly;Rarely;Preservation;Rarely;Smart Shopping;High;Successful;Fruits;16;6
27/02/2023;58;1;39,497.00;West;Rural;Master;Single;0;31-45;Employed;223;Medium;Medium;Vegetarian;Rarely;Rarely;Weekly;Supermarket;Yes;High;Yes;Yes;Spoilage;Canning;No;Moderate;Daily;Regularly;Preservation;Rarely;Reduced Portions;Low;Partial;Fruits;16;6
28/02/2023;59;3;60,061.00;East;Urban;Master;Divorced;2;31-45;Student;205;Small;Large;Vegetarian;Rarely;Weekly;Weekly;Supermarket;No;High;Yes;No;Spoilage;Freezing;Yes;Low;Daily;Sometimes;Storage;Occasionally;Meal Planning;Low;Successful;Fruits;16;5
01/03/2023;60;1;36,467.00;West;Urban;PhD;Single;0;61;Employed;121;Large;Large;Vegetarian;Rarely;Weekly;Weekly;Local;No;High;Yes;No;Excess Purchases;Canning;Yes;Low;Daily;Regularly;Preservation;Rarely;Reduced Portions;Low;Successful;Vegetables;16;2
02/03/2023;61;4;62,807.00;West;Urban;High School;Single;3;18-30;Student;144;Medium;Medium;Vegetarian;Weekly;Weekly;Daily;Supermarket;No;Moderate;Yes;No;Excess Purchases;Canning;Yes;Moderate;Daily;Rarely;Preservation;Rarely;Reduced Portions;Low;Partial;Seafood;16;6
03/03/2023;62;5;50,241.00;North;Urban;Master;Married;3;46-60;Employed;27;Large;Small;Vegetarian;Rarely;Weekly;Daily;Local;No;Moderate;No;Yes;Excess Purchases;Canning;No;Moderate;Weekly;Regularly;Storage;Rarely;Smart Shopping;Low;Not Successful;Fruits;16;6
04/03/2023;63;4;74,688.00;East;Urban;Master;Single;3;31-45;Student;284;Small;Large;Vegetarian;Rarely;Rarely;Daily;Supermarket;No;High;No;Yes;Portion Control;Freezing;No;Moderate;Daily;Rarely;Preservation;Rarely;Reduced Portions;Moderate;Partial;Fruits;16;6
05/03/2023;64;3;68,254.00;West;Rural;High School;Married;1;18-30;Student;203;Large;Small;Non-Vegetarian;Daily;Weekly;Daily;Online;No;High;Yes;Yes;Spoilage;Freezing;Yes;High;Weekly;Rarely;Prompt Consumption;Regularly;Smart Shopping;Low;Successful;Seafood;16;5
06/03/2023;65;1;27,812.00;South;Rural;Master;Divorced;0;46-60;Employed;132;Large;Medium;Non-Vegetarian;Daily;Rarely;Daily;Supermarket;No;Low;Yes;Yes;Excess Purchases;Canning;Yes;Moderate;Rarely;Regularly;Storage;Regularly;Meal Planning;Moderate;Successful;Meat;16;2
07/03/2023;66;2;29,457.00;South;Urban;Bachelor;Married;0;46-60;Student;44;Large;Medium;Vegetarian;Weekly;Weekly;Daily;Supermarket;Yes;Low;Yes;No;Excess Purchases;Refrigeration;Yes;High;Weekly;Regularly;Storage;Occasionally;Smart Shopping;High;Successful;Seafood;16;2
08/03/2023;67;3;36,028.00;North;Urban;PhD;Single;2;18-30;Employed;130;Small;Large;Non-Vegetarian;Weekly;Weekly;Weekly;Online;No;Low;No;No;Portion Control;Refrigeration;No;High;Weekly;Sometimes;Prompt Consumption;Occasionally;Reduced Portions;Low;Not Successful;Vegetables;16;2
09/03/2023;68;1;58,062.00;West;Urban;Master;Divorced;0;31-45;Unemployed;117;Large;Medium;Vegetarian;Rarely;Daily;Monthly;Online;Yes;Moderate;No;No;Spoilage;Refrigeration;No;Moderate;Weekly;Regularly;Storage;Occasionally;Meal Planning;Moderate;Not Successful;Vegetables;16;6
10/03/2023;69;4;33,350.00;West;Rural;Bachelor;Divorced;3;46-60;Student;29;Small;Small;Non-Vegetarian;Rarely;Weekly;Daily;Supermarket;Yes;Moderate;Yes;No;Portion Control;Refrigeration;No;High;Weekly;Rarely;Preservation;Occasionally;Smart Shopping;Moderate;Partial;Meat;16;3
11/03/2023;70;2;66,729.00;South;Rural;High School;Divorced;1;18-30;Student;279;Medium;Medium;Vegetarian;Rarely;Weekly;Daily;Online;Yes;High;No;Yes;Excess Purchases;Freezing;No;Moderate;Weekly;Regularly;Preservation;Rarely;Reduced Portions;Moderate;Not Successful;Meat;16;4
12/03/2023;71;1;32,056.00;North;Urban;Master;Single;0;61;Unemployed;202;Small;Medium;Vegetarian;Rarely;Rarely;Monthly;Local;No;High;No;Yes;Excess Purchases;Freezing;No;High;Rarely;Rarely;Preservation;Regularly;Meal Planning;Low;Not Successful;Meat;16;2
13/03/2023;72;2;33,243.00;East;Urban;Bachelor;Single;1;31-45;Unemployed;205;Small;Medium;Vegetarian;Rarely;Weekly;Daily;Local;Yes;Moderate;No;No;Excess Purchases;Freezing;No;Moderate;Daily;Sometimes;Prompt Consumption;Regularly;Reduced Portions;Low;Not Successful;Meat;16;6
14/03/2023;73;5;45,190.00;South;Urban;Master;Married;3;31-45;Student;221;Small;Medium;Vegetarian;Rarely;Rarely;Daily;Local;No;Low;Yes;Yes;Excess Purchases;Refrigeration;Yes;Low;Weekly;Regularly;Prompt Consumption;Rarely;Reduced Portions;High;Successful;Seafood;16;6
15/03/2023;74;3;69,901.00;South;Rural;Master;Single;2;18-30;Employed;134;Medium;Medium;Non-Vegetarian;Weekly;Daily;Weekly;Online;Yes;High;Yes;No;Spoilage;Freezing;No;Moderate;Rarely;Rarely;Storage;Occasionally;Smart Shopping;Moderate;Successful;Fruits;16;1
16/03/2023;75;1;49,301.00;East;Urban;Bachelor;Divorced;0;18-30;Unemployed;175;Large;Medium;Vegetarian;Rarely;Weekly;Weekly;Supermarket;Yes;Moderate;Yes;Yes;Spoilage;Refrigeration;Yes;Moderate;Weekly;Rarely;Preservation;Rarely;Smart Shopping;High;Successful;Vegetables;16;6
17/03/2023;76;3;47,235.00;North;Urban;High School;Married;1;61;Student;298;Large;Small;Non-Vegetarian;Weekly;Daily;Weekly;Local;Yes;Moderate;Yes;No;Portion Control;Freezing;No;Low;Daily;Rarely;Prompt Consumption;Regularly;Reduced Portions;High;Successful;Seafood;16;1
18/03/2023;77;2;69,773.00;South;Urban;High School;Single;1;18-30;Unemployed;217;Small;Large;Vegetarian;Daily;Daily;Daily;Online;Yes;High;No;Yes;Spoilage;Refrigeration;No;Moderate;Rarely;Sometimes;Preservation;Regularly;Reduced Portions;Low;Not Successful;Fruits;16;6
19/03/2023;78;4;64,247.00;South;Urban;Master;Single;3;18-30;Student;211;Small;Large;Non-Vegetarian;Rarely;Rarely;Daily;Online;No;High;Yes;No;Excess Purchases;Canning;Yes;Moderate;Weekly;Sometimes;Preservation;Rarely;Reduced Portions;High;Partial;Seafood;16;5
20/03/2023;79;3;37,185.00;West;Urban;High School;Married;1;31-45;Student;56;Small;Medium;Vegetarian;Rarely;Rarely;Daily;Supermarket;No;High;No;No;Spoilage;Canning;No;Low;Daily;Regularly;Preservation;Occasionally;Meal Planning;High;Partial;Vegetables;16;6
21/03/2023;80;3;65,753.00;East;Urban;High School;Married;1;18-30;Unemployed;179;Medium;Small;Vegetarian;Rarely;Weekly;Weekly;Online;Yes;Low;Yes;Yes;Spoilage;Canning;No;High;Daily;Sometimes;Prompt Consumption;Regularly;Reduced Portions;Low;Successful;Seafood;16;4
22/03/2023;81;5;60,424.00;North;Urban;High School;Married;3;46-60;Employed;294;Medium;Large;Vegetarian;Rarely;Daily;Daily;Local;No;Low;Yes;Yes;Spoilage;Canning;Yes;Moderate;Weekly;Rarely;Preservation;Rarely;Meal Planning;Low;Partial;Meat;16;2
23/03/2023;82;4;39,034.00;North;Urban;Bachelor;Single;3;46-60;Student;77;Medium;Large;Non-Vegetarian;Weekly;Weekly;Daily;Local;No;High;Yes;Yes;Spoilage;Canning;No;High;Rarely;Regularly;Preservation;Rarely;Smart Shopping;High;Partial;Vegetables;16;4
24/03/2023;83;4;74,903.00;East;Rural;PhD;Single;3;31-45;Student;100;Small;Large;Vegetarian;Rarely;Rarely;Daily;Online;No;Low;Yes;Yes;Spoilage;Freezing;No;High;Rarely;Regularly;Preservation;Rarely;Smart Shopping;High;Successful;Seafood;16;4
25/03/2023;84;3;65,060.00;North;Rural;Master;Divorced;2;31-45;Student;116;Small;Large;Vegetarian;Rarely;Weekly;Daily;Supermarket;No;Low;Yes;Yes;Portion Control;Canning;No;Low;Daily;Sometimes;Preservation;Occasionally;Meal Planning;High;Successful;Seafood;16;5
26/03/2023;85;1;28,284.00;West;Rural;High School;Single;0;46-60;Employed;156;Small;Medium;Non-Vegetarian;Rarely;Rarely;Weekly;Supermarket;No;Low;Yes;No;Portion Control;Canning;Yes;Moderate;Daily;Sometimes;Prompt Consumption;Regularly;Reduced Portions;High;Successful;Meat;16;4
27/03/2023;86;3;55,494.00;West;Rural;Bachelor;Divorced;2;18-30;Student;43;Large;Large;Vegetarian;Rarely;Rarely;Daily;Online;Yes;Low;Yes;Yes;Excess Purchases;Refrigeration;No;Low;Daily;Regularly;Prompt Consumption;Occasionally;Smart Shopping;Moderate;Not Successful;Vegetables;16;6
28/03/2023;87;1;30,944.00;North;Rural;High School;Single;0;18-30;Unemployed;122;Medium;Small;Non-Vegetarian;Daily;Daily;Monthly;Online;Yes;High;No;Yes;Spoilage;Refrigeration;No;High;Daily;Sometimes;Storage;Occasionally;Smart Shopping;Moderate;Not Successful;Vegetables;16;3
